Date,Product Category,Product,Units Sold,Revenue (USD),Discount %,Sales Channel,Region
2026-06-01,Men's Jeans,501 Original Jeans,42,4195.80,10,Official Website,US
2026-06-02,Women's Jeans,Ribcage Jeans,31,3410.00,0,Official Website,US
2026-06-03,Men's Jeans,511 Slim Men's Jeans,27,4050.00,10,Official Website,US
2026-06-04,Women's Jeans,Loose Taper Women's Jeans,36,3960.00,10,Official Website,US
2026-06-05,Tops,Perfect T-Shirt,54,1347.30,0,Official Website,US
2026-06-06,Men's Jeans,501 Loose,29,2173.55,0,Official Website,US
2026-06-07,Outerwear,Denim Trucker Jacket,18,1438.20,10,Official Website,US
2026-06-08,Tops,Original Housemark Zip-Up Hoodie,23,1610.00,0,Official Website,US
2026-06-09,Women's Jeans,Low Straight Women's Jeans,25,1925.00,30,Official Website,US
2026-06-10,Men's Jeans,Extra Baggy Utility Men's Jeans,34,2548.30,0,Official Website,US
2026-06-11,Accessories,Arlo Wide Prong Belt,17,935.00,0,Official Website,US
2026-06-12,Tops,Union Rugby Shirt,21,1155.00,0,Official Website,US
2026-06-13,Women's Jeans,Wide-Leg Jeans,28,2940.00,10,Official Website,US
2026-06-14,Men's Jeans,514 Straight Men's Jeans,39,2924.55,30,Official Website,US
2026-06-15,Tops,Graphic Favorite Tee,46,1380.00,0,Official Website,US
2026-06-16,Outerwear,Castro Mechanics Full-Zip Jacket,15,1485.00,0,Official Website,US
2026-06-17,Women's Tops,Essential Racer Tank,41,1025.00,0,Official Website,US
2026-06-18,Men's Chinos,Levi's XX Chinos,26,1948.70,0,Official Website,US
2026-06-19,Women's Jeans,501 Original Jeans,33,3296.70,10,Official Website,US
2026-06-20,Accessories,Web Belt,22,880.00,0,Official Website,US
2026-06-21,Men's Jeans,502 Taper Selvedge,12,3000.00,0,Official Website,US
2026-06-22,Women's Tops,Authentic Crewneck Sweatshirt,24,1440.00,0,Official Website,US
2026-06-23,Kids,Kids' Jeans,30,1650.00,10,Official Website,US
2026-06-24,Men's Jeans,Relaxed Fit Jeans,37,2773.15,0,Official Website,US
2026-06-25,Women's Jeans,Barrel Jeans,29,3045.00,10,Official Website,US
2026-06-26,Tops,Supersoft Summer Polo,19,1235.00,0,Official Website,US
2026-06-27,Outerwear,Denim Jacket,16,1280.00,20,Official Website,US
2026-06-28,Accessories,Web Belt,18,720.00,0,Official Website,US
2026-06-29,Men's Jeans,Loose & Baggy Jeans,32,2396.80,0,Official Website,US
2026-06-30,Women's Jeans,Straight Jeans,35,3850.00,0,Official Website,US
