Month,Total Revenue (USD),COGS (USD),Gross Profit (USD),Operating Expenses (USD),Net Operating Result (USD),Marketing Spend (USD),Returns Rate %
2026-01,12800000,7100000,5700000,2380000,3320000,620000,3.2
2026-02,12150000,6750000,5400000,2310000,3090000,590000,3.2
2026-03,13700000,8220000,5480000,2250000,3230000,710000,3.3
2026-04,14300000,8580000,5720000,2300000,3420000,760000,3.3
2026-05,15200000,9120000,6080000,2350000,3730000,820000,3.4
2026-06,16000000,9600000,6400000,2400000,4000000,880000,3.3
2026-07,15500000,9300000,6200000,2450000,3750000,850000,3.4
2026-08,14800000,8880000,5920000,2420000,3500000,790000,3.4
2026-09,16500000,9900000,6600000,2500000,4100000,920000,3.3
2026-10,17400000,10440000,6960000,2550000,4410000,980000,3.3
2026-11,19800000,11880000,7920000,2700000,5220000,1250000,3.3
2026-12,22100000,13260000,8840000,2850000,5990000,1450000,3.2
